Unnamed: 0_level_0_Rk_x,Player,Nation,Pos,Squad,Comp,Unnamed: 6_level_0_Age_x,Unnamed: 7_level_0_Born_x,90s_x,Tackles_Tkl,Tackles_TklW,Tackles_zone_def,Tackles_zone_mid,Tackles_zone_att,duel_gagné,duel_total,duel_reussite%,duel_perdu,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Interceptions,Unnamed: 22_level_0_Tkl+Int,Unnamed: 23_level_0_Clr,Unnamed: 24_level_0_Err,Unnamed: 25_level_0_Matches,Tackles_par_90,Interceptions_par_90,Unnamed: 0_level_0_Rk_y,Unnamed: 6_level_0_Age_y,Unnamed: 7_level_0_Born_y,90s_y,passes_reussies,passes_tentees,passes_reussite%,passes_distance_totale,passes_progressives_distance,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 23_level_0_Ast,Unnamed: 24_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 27_level_0_KP,Unnamed: 28_level_0_1/3,Unnamed: 29_level_0_PPA,Unnamed: 30_level_0_CrsPA,Unnamed: 31_level_0_PrgP,Unnamed: 32_level_0_Matches,passes_reussies_par_90
602,Aaron Cresswell,eng ENG,"DF,FW",West Ham,eng Premier League,33,1989,4.8,3.0,2,1.0,1.0,1.0,2,3,66.7,1,5,3,2,3.0,6,7,0,Matches,0.625,0.625,602,33,1989,4.8,254.0,308.0,82.5,4176.0,1722.0,142,155,91.6,80,96,83.3,25,48,52.1,0,0.4,0.3,-0.4,5,15,4,0,26,Matches,52.91666666666667
1138,Aaron Hickey,sct SCO,DF,Brentford,eng Premier League,21,2002,7.9,16.0,9,9.0,3.0,4.0,7,7,100.0,0,7,3,4,3.0,19,10,0,Matches,2.0253164556962022,0.37974683544303794,1138,21,2002,7.9,243.0,277.0,87.7,3813.0,894.0,134,140,95.7,92,106,86.8,14,20,70.0,0,0.1,0.1,-0.1,1,10,2,0,21,Matches,30.759493670886073
1586,Aaron Malouda,fr FRA,FW,Lille,fr Ligue 1,17,2005,0.0,0.0,0,0.0,0.0,0.0,0,0,,0,0,0,0,0.0,0,0,0,Matches,,,1586,17,2005,0.0,0.0,0.0,,0.0,0.0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,
2185,Aaron Ramsdale,eng ENG,GK,Arsenal,eng Premier League,25,1998,6.0,0.0,0,0.0,0.0,0.0,0,0,,0,0,0,0,0.0,0,3,2,Matches,0.0,0.0,2185,25,1998,6.0,131.0,188.0,69.7,3303.0,2420.0,38,38,100.0,61,62,98.4,32,86,37.2,0,0.0,0.0,0.0,0,4,0,0,2,Matches,21.833333333333332
2186,Aaron Ramsey,eng ENG,"MF,FW",Burnley,eng Premier League,20,2003,5.9,17.0,14,7.0,5.0,5.0,8,16,50.0,8,11,2,9,1.0,18,10,0,Matches,2.8813559322033897,0.1694915254237288,2186,20,2003,5.9,118.0,151.0,78.1,1856.0,224.0,71,84,84.5,37,46,80.4,9,10,90.0,0,0.4,0.5,-0.4,1,7,2,0,8,Matches,20.0
2415,Aaron Seydel,de GER,FW,Darmstadt 98,de Bundesliga,27,1996,6.9,3.0,2,0.0,2.0,1.0,0,3,0.0,3,8,2,6,1.0,4,9,0,Matches,0.43478260869565216,0.14492753623188406,2415,27,1996,6.9,110.0,190.0,57.9,1535.0,254.0,66,99,66.7,33,65,50.8,4,6,66.7,0,0.7,0.6,-0.7,9,9,1,0,10,Matches,15.942028985507246
2741,Aaron Wan-Bissaka,cd COD,DF,Manchester Utd,eng Premier League,25,1997,19.8,42.0,25,18.0,20.0,4.0,19,26,73.1,7,29,15,14,41.0,83,68,1,Matches,2.121212121212121,2.0707070707070705,2741,25,1997,19.8,823.0,986.0,83.5,10824.0,3539.0,536,599,89.5,243,285,85.3,19,38,50.0,2,1.5,1.4,+0.5,12,51,16,3,77,Matches,41.56565656565657
824,Aarón Escandell,es ESP,GK,Las Palmas,es La Liga,27,1995,1.7,0.0,0,0.0,0.0,0.0,0,0,,0,0,0,0,0.0,0,1,1,Matches,0.0,0.0,824,27,1995,1.7,64.0,86.0,74.4,1579.0,1172.0,15,15,100.0,29,29,100.0,18,39,46.2,0,0.0,0.0,0.0,0,1,0,0,0,Matches,37.64705882352941
1631,Aarón Martín,es ESP,DF,Genoa,it Serie A,26,1997,15.3,21.0,10,7.0,10.0,4.0,9,22,40.9,13,12,4,8,9.0,30,15,0,Matches,1.3725490196078431,0.5882352941176471,1631,26,1997,15.3,431.0,619.0,69.6,7748.0,2727.0,195,216,90.3,169,227,74.4,54,128,42.2,1,1.7,1.7,-0.7,26,26,16,11,35,Matches,28.169934640522875
2532,Abakar Sylla,ci CIV,DF,Strasbourg,fr Ligue 1,20,2002,19.9,54.0,23,30.0,19.0,5.0,29,40,72.5,11,40,11,29,26.0,80,70,2,Matches,2.71356783919598,1.306532663316583,2532,20,2002,19.9,1111.0,1266.0,87.8,19769.0,6698.0,436,473,92.2,567,618,91.7,81,139,58.3,0,0.5,0.2,-0.5,5,52,4,0,72,Matches,55.82914572864322
834,Abde Ezzalzouli,ma MAR,"FW,MF",Barcelona,es La Liga,21,2001,0.8,1.0,1,0.0,0.0,1.0,0,1,0.0,1,1,0,1,0.0,1,0,0,Matches,1.25,0.0,834,21,2001,0.8,23.0,37.0,62.2,289.0,83.0,18,23,78.3,4,8,50.0,1,4,25.0,0,0.1,0.0,-0.1,2,0,2,1,1,Matches,28.75
835,Abde Ezzalzouli,ma MAR,FW,Betis,es La Liga,21,2001,9.6,17.0,14,7.0,5.0,5.0,4,14,28.6,10,10,0,10,5.0,22,5,0,Matches,1.7708333333333335,0.5208333333333334,835,21,2001,9.6,232.0,353.0,65.7,2777.0,769.0,159,204,77.9,51,77,66.2,5,17,29.4,0,0.3,0.5,-0.3,4,11,9,1,25,Matches,24.166666666666668
2202,Abde Rebbach,dz ALG,"FW,MF",Alavés,es La Liga,24,1998,8.0,9.0,5,4.0,2.0,3.0,5,15,33.3,10,10,1,9,3.0,12,7,0,Matches,1.125,0.375,2202,24,1998,8.0,124.0,225.0,55.1,2213.0,845.0,63,84,75.0,40,67,59.7,17,45,37.8,0,1.8,1.7,-1.8,18,12,6,3,14,Matches,15.5
12,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24,1999,25.7,35.0,19,28.0,5.0,2.0,21,35,60.0,14,31,26,5,23.0,58,115,0,Matches,1.3618677042801557,0.8949416342412452,12,24,1999,25.7,553.0,762.0,72.6,12370.0,4872.0,141,164,86.0,302,339,89.1,99,225,44.0,0,0.2,0.2,-0.2,3,61,2,0,49,Matches,21.51750972762646
172,Abdellah Baallal,ma MAR,MF,Clermont Foot,fr Ligue 1,18,2004,0.0,0.0,0,0.0,0.0,0.0,0,0,,0,1,0,1,0.0,0,0,0,Matches,,,172,18,2004,0.0,3.0,4.0,75.0,40.0,0.0,2,3,66.7,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,
2172,Abdellah Raihani,ma MAR,FW,Atlético Madrid,es La Liga,19,2004,0.1,0.0,0,0.0,0.0,0.0,0,1,0.0,1,0,0,0,0.0,0,0,0,Matches,0.0,0.0,2172,19,2004,0.1,0.0,0.0,,0.0,0.0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,0.0
1102,Abdou Harroui,nl NED,"MF,FW",Frosinone,it Serie A,25,1998,11.3,23.0,11,11.0,11.0,1.0,8,16,50.0,8,19,3,16,5.0,28,8,0,Matches,2.0353982300884956,0.44247787610619466,1102,25,1998,11.3,303.0,383.0,79.1,4174.0,1016.0,186,216,86.1,84,106,79.2,15,25,60.0,3,1.2,1.4,+1.8,16,29,12,4,38,Matches,26.814159292035395
1274,Abdoul Kader Bamba,fr FRA,"FW,MF",Nantes,fr Ligue 1,29,1994,6.8,10.0,7,2.0,5.0,3.0,5,15,33.3,10,4,0,4,4.0,14,4,1,Matches,1.4705882352941178,0.5882352941176471,1274,29,1994,6.8,267.0,336.0,79.5,4343.0,1133.0,127,151,84.1,103,128,80.5,22,36,61.1,1,1.0,1.1,0.0,11,18,10,2,31,Matches,39.26470588235294
1359,Abdoul Koné,fr FRA,DF,Reims,fr Ligue 1,18,2005,2.1,7.0,7,5.0,2.0,0.0,4,11,36.4,7,2,0,2,2.0,9,9,0,Matches,3.333333333333333,0.9523809523809523,1359,18,2005,2.1,53.0,85.0,62.4,1041.0,401.0,19,24,79.2,26,42,61.9,8,17,47.1,0,0.7,0.0,-0.7,2,6,1,0,5,Matches,25.238095238095237
755,Abdoulaye Doucouré,ml MLI,"FW,MF",Everton,eng Premier League,30,1993,29.2,43.0,27,20.0,14.0,9.0,18,46,39.1,28,23,3,20,15.0,58,19,0,Matches,1.4726027397260275,0.5136986301369864,755,30,1993,29.2,683.0,893.0,76.5,9807.0,2329.0,381,453,84.1,239,288,83.0,28,59,47.5,1,2.9,1.5,-1.9,34,43,18,1,97,Matches,23.39041095890411
2617,Abdoulaye Touré,gn GUI,MF,Le Havre,fr Ligue 1,29,1994,25.4,47.0,28,22.0,22.0,3.0,30,60,50.0,30,30,8,22,25.0,72,33,0,Matches,1.8503937007874016,0.984251968503937,2617,29,1994,25.4,1031.0,1238.0,83.3,18110.0,5195.0,413,483,85.5,475,546,87.0,92,122,75.4,0,0.9,0.9,-0.9,12,119,7,0,148,Matches,40.59055118110236
1332,Abdukodir Khusanov,uz UZB,DF,Lens,fr Ligue 1,19,2004,9.0,21.0,12,13.0,8.0,0.0,9,17,52.9,8,13,8,5,13.0,34,32,2,Matches,2.3333333333333335,1.4444444444444444,1332,19,2004,9.0,383.0,439.0,87.2,7213.0,2415.0,140,152,92.1,203,219,92.7,36,59,61.0,0,0.1,0.2,-0.1,1,28,1,0,23,Matches,42.55555555555556
1828,Abdul Mumin,gh GHA,DF,Rayo Vallecano,es La Liga,25,1998,18.8,19.0,10,13.0,4.0,2.0,8,10,80.0,2,27,19,8,22.0,41,82,1,Matches,1.0106382978723405,1.1702127659574468,1828,25,1998,18.8,617.0,773.0,79.8,12936.0,4915.0,179,203,88.2,355,393,90.3,76,163,46.6,0,0.3,0.1,-0.3,4,34,4,0,38,Matches,32.81914893617021
2152,Abdón Prats,es ESP,"FW,MF",Mallorca,es La Liga,30,1992,14.1,6.0,4,2.0,2.0,2.0,3,5,60.0,2,6,3,3,2.0,8,12,0,Matches,0.425531914893617,0.14184397163120568,2152,30,1992,14.1,132.0,240.0,55.0,2042.0,475.0,73,110,66.4,42,71,59.2,12,23,52.2,1,2.4,1.2,-1.4,14,12,8,0,26,Matches,9.361702127659575
1214,Ablie Jallow,gm GAM,"MF,FW",Metz,fr Ligue 1,24,1998,10.2,8.0,5,2.0,3.0,3.0,3,5,60.0,2,4,0,4,8.0,16,3,0,Matches,0.7843137254901962,0.7843137254901962,1214,24,1998,10.2,248.0,318.0,78.0,4487.0,1116.0,112,138,81.2,97,120,80.8,30,46,65.2,2,1.0,0.7,+1.0,12,22,10,0,42,Matches,24.31372549019608
10,Abner,br BRA,DF,Betis,es La Liga,23,2000,15.6,25.0,19,15.0,9.0,1.0,17,34,50.0,17,23,5,18,15.0,40,62,0,Matches,1.6025641025641026,0.9615384615384616,10,23,2000,15.6,615.0,797.0,77.2,9211.0,4552.0,351,394,89.1,203,265,76.6,37,79,46.8,1,1.0,1.0,0.0,8,20,7,2,33,Matches,39.42307692307693
1491,Abou Lô,sn SEN,"MF,DF",Metz,fr Ligue 1,23,2000,2.2,3.0,1,2.0,1.0,0.0,1,4,25.0,3,5,2,3,4.0,7,8,0,Matches,1.3636363636363635,1.8181818181818181,1491,23,2000,2.2,65.0,74.0,87.8,1319.0,446.0,20,21,95.2,39,42,92.9,6,9,66.7,0,0.3,0.0,-0.3,2,6,1,0,4,Matches,29.545454545454543
70,Aboubacar Ali,km COM,"MF,FW",Strasbourg,fr Ligue 1,17,2006,1.4,2.0,0,0.0,2.0,0.0,0,0,,0,1,0,1,1.0,3,2,0,Matches,1.4285714285714286,0.7142857142857143,70,17,2006,1.4,22.0,34.0,64.7,287.0,51.0,14,19,73.7,7,12,58.3,0,0,,1,0.1,0.1,+0.9,1,4,1,0,3,Matches,15.714285714285715
639,Achraf Dari,ma MAR,"DF,FW",Brest,fr Ligue 1,24,1999,1.3,1.0,1,1.0,0.0,0.0,0,2,0.0,2,2,0,2,5.0,6,9,1,Matches,0.7692307692307692,3.846153846153846,639,24,1999,1.3,73.0,85.0,85.9,1773.0,564.0,11,14,78.6,45,47,95.7,17,23,73.9,0,0.0,0.0,0.0,0,4,0,0,8,Matches,56.15384615384615
1091,Achraf Hakimi,ma MAR,DF,Paris S-G,fr Ligue 1,24,1998,21.5,29.0,19,14.0,9.0,6.0,17,34,50.0,17,28,4,24,12.0,41,28,2,Matches,1.3488372093023255,0.5581395348837209,1091,24,1998,21.5,1712.0,1979.0,86.5,25356.0,8074.0,948,1030,92.0,613,696,88.1,77,125,61.6,5,5.2,4.2,-0.2,43,153,45,13,218,Matches,79.62790697674419
1144,Adam Hložek,cz CZE,"MF,FW",Leverkusen,de Bundesliga,21,2002,5.1,10.0,4,2.0,4.0,4.0,3,7,42.9,4,4,1,3,2.0,12,1,0,Matches,1.9607843137254903,0.3921568627450981,1144,21,2002,5.1,123.0,152.0,80.9,1739.0,280.0,78,88,88.6,34,42,81.0,6,8,75.0,3,0.9,1.2,+2.1,9,5,2,0,13,Matches,24.117647058823533
1419,Adam Lallana,eng ENG,"MF,FW",Brighton,eng Premier League,35,1988,9.4,8.0,3,4.0,4.0,0.0,0,4,0.0,4,2,1,1,3.0,11,1,0,Matches,0.851063829787234,0.3191489361702127,1419,35,1988,9.4,451.0,509.0,88.6,4936.0,1088.0,326,352,92.6,78,90,86.7,7,8,87.5,1,1.7,2.0,-0.7,15,21,16,1,39,Matches,47.97872340425532
1646,Adam Marušić,me MNE,DF,Lazio,it Serie A,30,1992,34.4,45.0,31,24.0,19.0,2.0,27,49,55.1,22,27,7,20,29.0,74,63,2,Matches,1.308139534883721,0.8430232558139535,1646,30,1992,34.4,1560.0,1880.0,83.0,24140.0,9157.0,843,935,90.2,582,704,82.7,89,159,56.0,0,0.8,1.1,-0.8,10,110,24,11,118,Matches,45.348837209302324
1650,Adam Masina,ma MAR,DF,Torino,it Serie A,29,1994,11.4,17.0,12,8.0,8.0,1.0,5,20,25.0,15,12,6,6,11.0,28,30,0,Matches,1.4912280701754386,0.9649122807017544,1650,29,1994,11.4,557.0,652.0,85.4,9669.0,4033.0,236,259,91.1,275,317,86.8,37,61,60.7,0,0.2,0.4,-0.2,3,35,4,0,42,Matches,48.859649122807014
1649,Adam Masina,ma MAR,DF,Udinese,it Serie A,29,1994,0.7,4.0,0,2.0,2.0,0.0,2,4,50.0,2,2,1,1,2.0,6,5,0,Matches,5.714285714285714,2.857142857142857,1649,29,1994,0.7,22.0,30.0,73.3,345.0,153.0,12,15,80.0,8,9,88.9,2,4,50.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches,31.42857142857143
1936,Adam Obert,sk SVK,DF,Cagliari,it Serie A,20,2002,10.5,17.0,9,8.0,8.0,1.0,8,17,47.1,9,13,7,6,21.0,38,41,1,Matches,1.619047619047619,2.0,1936,20,2002,10.5,372.0,474.0,78.5,7539.0,2700.0,144,162,88.9,169,197,85.8,57,100,57.0,0,0.9,0.7,-0.9,6,40,10,6,37,Matches,35.42857142857143
2004,Adam Ounas,dz ALG,FW,Lille,fr Ligue 1,26,1996,4.6,4.0,3,2.0,2.0,0.0,2,7,28.6,5,2,0,2,6.0,10,1,0,Matches,0.8695652173913044,1.3043478260869565,2004,26,1996,4.6,138.0,194.0,71.1,2338.0,766.0,70,84,83.3,47,64,73.4,16,29,55.2,0,1.9,1.8,-1.9,13,7,11,5,20,Matches,30.000000000000004
2457,Adam Smith,eng ENG,DF,Bournemouth,eng Premier League,32,1991,23.9,37.0,23,18.0,11.0,8.0,19,39,48.7,20,28,11,17,21.0,58,62,0,Matches,1.5481171548117156,0.8786610878661089,2457,32,1991,23.9,782.0,1025.0,76.3,12722.0,5225.0,397,443,89.6,325,401,81.0,51,141,36.2,2,1.3,1.7,+0.7,17,58,23,17,89,Matches,32.71966527196653
2749,Adam Webster,eng ENG,DF,Brighton,eng Premier League,28,1995,12.7,14.0,12,8.0,5.0,1.0,6,18,33.3,12,16,12,4,16.0,30,43,1,Matches,1.1023622047244095,1.2598425196850394,2749,28,1995,12.7,997.0,1096.0,91.0,16938.0,5838.0,428,462,92.6,495,529,93.6,56,79,70.9,0,0.1,0.3,-0.1,5,92,4,0,80,Matches,78.50393700787401
2760,Adam Wharton,eng ENG,MF,Crystal Palace,eng Premier League,19,2004,14.4,48.0,32,18.0,22.0,8.0,23,46,50.0,23,17,3,14,20.0,68,24,1,Matches,3.333333333333333,1.3888888888888888,2760,19,2004,14.4,464.0,596.0,77.9,8091.0,2486.0,209,244,85.7,199,234,85.0,45,80,56.3,3,2.4,1.5,+0.6,21,51,16,3,79,Matches,32.22222222222222
331,Adama Bojang,gm GAM,FW,Reims,fr Ligue 1,19,2004,0.9,2.0,1,1.0,0.0,1.0,0,0,,0,2,1,1,1.0,3,0,0,Matches,2.2222222222222223,1.1111111111111112,331,19,2004,0.9,17.0,27.0,63.0,182.0,66.0,14,19,73.7,1,2,50.0,1,1,100.0,0,0.0,0.1,0.0,1,0,0,0,1,Matches,18.88888888888889
2622,Adama Traoré,es ESP,"FW,MF",Fulham,eng Premier League,27,1996,4.2,4.0,3,1.0,2.0,1.0,3,6,50.0,3,2,0,2,1.0,5,2,0,Matches,0.9523809523809523,0.23809523809523808,2622,27,1996,4.2,97.0,139.0,69.8,1487.0,457.0,52,62,83.9,38,52,73.1,5,12,41.7,3,0.7,0.9,+2.3,7,3,9,4,16,Matches,23.095238095238095
1564,Adel Mahamoud,km COM,FW,Nantes,fr Ligue 1,20,2003,0.1,0.0,0,0.0,0.0,0.0,0,1,0.0,1,0,0,0,0.0,0,0,0,Matches,0.0,0.0,1564,20,2003,0.1,2.0,4.0,50.0,32.0,18.0,0,2,0.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,2,Matches,20.0
