Name,Position
Kjell Wätjen,MDC
Exequiel Palacios,MC
Josip Stanišić,DC
Granit Xhaka,MC
Serhou Guirassy,BU
Alejandro Grimaldo,MG
Robert Andrich,MC
Harry Kane,BU
Bryan Zaragoza,AG
Deniz Undav,BU
Piero Hincapié,DC
Fabian Bredlow,G
Alexander Schwolow,G
Leon Goretzka,MDC
Jamal Musiala,MOC
Victor Boniface,BU
Lovro Zvonarek,AD
Edmond Tapsoba,DC
Jonathan Tah,DC
Maximilian Mittelstädt,DG
Xavi Simons,MOC
Jens Grahl,G
Leroy Sané,AD
Florian Wirtz,MOC
Matěj Kovář,G
Nico Schlotterbeck,DC
Odilon Kossounou,DC
Ian Maatsen,DG
Jonas Hofmann,MOC
Oliver Baumann,G
Loïs Openda,BU
Patrik Schick,BU
Matthijs de Ligt,DC
Angelo Stiller,MDC
Alphonso Davies,DG
Emre Can,MDC
Min-Jae Kim,DC
Amadou Haidara,MDC
Donyell Malen,BU
Joshua Kimmich,MDC
Eric Dier,DC
Nathan Tella,MOC
Noussair Mazraoui,DD
Dayot Upamecano,DC
Nadiem Amiri,MC
Andrej Kramarić,MOC
Arthur,MG
Dani Olmo,MOC
Xaver Schlager,MDC
Omar Marmoush,BU
Konrad Laimer,DD
Gregor Kobel,G
Atakan Karazor,MDC
Castello Lukeba,DC
Hugo Ekitike,BU
Jeremie Frimpong,MD
Dan-Axel Zagadou,DC
Ramy Bensebaïni,DG
Willi Orban,DC
Thomas Müller,MOC
Waldemar Anton,DC
Manuel Riemann,G
Moritz Nicolas,G
Michael Zetterer,G
Enzo Millot,MOC
Mathys Tel,AD
Lukáš Hrádecký,G
Chris Führich,AG
Niklas Süle,DC
Hiroki Ito,DC
Aleksandar Pavlović,MDC
Benjamin Henrichs,DD
Péter Gulácsi,G
Sepp van den Berg,DC
Kingsley Coman,AD
Adam Hložek,MOC
Keven Schlotterbeck,DC
Kevin Müller,G
Frederik Rønnow,G
Florian Grillitsch,DC
Marcel Sabitzer,MDC
Daniel Batz,G
Amine Adli,MOC
Benjamin Šeško,BU
Robin Hack,BU
Bouna Sarr,DG
Jadon Sancho,BU
Anton Stach,MC
Yussuf Poulsen,BU
Mert Kömür,MOC
Leonidas Stergiou,DD
Mohamed Simakan,DC
Finn Dahmen,G
Kevin Kampl,MDC
Felix Nmecha,MC
David Raum,DG
Raphaël Guerreiro,MDC
Danilo Soares,MG
Marco Reus,MOC
Niklas Beste,AG
Julian Weigl,MC
Jeffrey Gouweleeuw,DC
Noah Atubolu,G
Youssoufa Moukoko,BU
Tomáš Koubek,G
Marcel Schuhen,G
Willian Pacho,DC
Mats Hummels,DC
Pascal Stenzel,DD
Nnamdi Collins,DD
Maximilian Beier,BU
Julian Ryerson,DD
Lukas Klostermann,DC
Maxence Lacroix,DC
Jonathan Burkardt,BU
Nico Elvedi,DC
Anthony Rouault,DC
Kevin Simone Sessa,MOC
Patrick Mainka,DC
Julian Brandt,MC
Marco Friedl,DC
Robin Koch,DC
Niklas Stark,DC
Niclas Füllkrug,BU
Ellyes Skhiri,MC
Maximilian Wöber,DC
Michael Gregoritsch,BU
Serge Gnabry,AG
Maxim Leitsch,DC
Ozan Kabak,DC
Randal Kolo Muani,BU
Matthias Ginter,DC
Ermedin Demirović,BU
Manuel Neuer,G
Jonas Omlin,G
Florian Neuhaus,MC
Julian Chabot,DC
Jonas Wind,BU
Salih Özcan,MDC
Amos Pieper,DC
Joakim Mæhle,DD
Timo Hübers,DC
Kevin Trapp,G
Tuta,DC
Hrvoje Smolčić,DC
John Anthony Brooks Jr,DC
Danilho Doekhi,DC
Kevin Stöger,MC
Jamie Leweling,AD
Marvin Schwäbe,G
Koen Casteels,G
Felix Uduokhai,DC
Mahmoud Dahoud,MDC
Alassane Pléa,BU
Alexander Meyer,G
Franck Honorat,MD
Fábio Carvalho,MG
Robin Knoche,DC
Vincenzo Grifo,MOC
Josha Vagnoman,DD
Wout Weghorst,BU
Maximilian Arnold,MC
Josuha Guilavogui,DC
Robin Zentner,G
Brajan Gruda,MOC
Mitchell Weiser,MD
Marvin Ducksch,BU
Jamie Bynoe-Gittens,AG
Rafael Borré,BU
Kevin Vogt,DC
Antonios Papadopoulos,DC
Marco Richter,MOC
Mateu Morey,DG
Kevin Paredes,MG
Fabian Schnellhardt,MC
Lucas Höler,BU
Eric Maxim Choupo-Moting,MOC
Jae-Sung Lee,MOC
Iago,DG
Niklas Dorsch,MDC
Senne Lynen,MC
Silas,AD
Philipp Max,MG
Mario Götze,MC
Edimilson Fernandes,DC
Patric Pfeiffer,DC
Nicolas Höfler,MC
Alexander Nübel,G
Ihlas Bebou,BU
Thomas Meunier,DD
Diogo Leite,DC
Hugo Larsson,MC
Sven Ulreich,G
Ritsu Dōan,MD
Robin Gosens,MG
Kristijan Jakić,MDC
Clemens Riedel,DC
Pavao Pervan,G
Ko Itakura,DC
Janis Blaswich,G
Gonçalo Paciencia,BU
Rocco Reitz,MC
Philipp Lienhart,DC
Gian-Luca Waldschmidt,MOC
Mattias Svanberg,MC
Tim Kleindienst,BU
Jan Schöppner,MDC
Andreas Hanche-Olsen,DC
Marvin Friedrich,DC
Václav Černý,AD
Patrick Osterhage,MC
Nick Woltemade,BU
Maximilian Eggestein,MC
Jens Stage,MC
Grischa Prömel,MC
Eljif Elmas,MOC
Manuel Gulde,DC
Lukas Kübler,DC
Farès Chaïbi,MOC
Sebastiaan Bornauw,DC
Anthony Caci,MG
Bernardo,DG
Nathan Ngoumou,BU
Jacob Christensen,MC
Ivan Ordets,DC
Anthony Jung,DC
Woo-Yeong Jeong,MOC
Philipp Hofmann,BU
Leandro Barreiro,MC
Romano Schmid,MC
Manu Koné,MC
Jiří Pavlenka,G
Amin Sarr,MOC
Arne Maier,MG
Dion Drena Beljo,BU
Kevin Behrens,BU
Lukas Daschner,BU
Robert Skov,MG
Luca Netz,MG
Lovro Majer,MOC
Justin Njinmah,BU
Saša Kalajdžić,BU
Fredrik Jensen,MD
Paul Jaeckel,DC
Emil Forsberg,MOC
Ridle Baku,MD
Fabian Nürnberger,MG
Cristian Gamboa,DD
Roland Sallai,MOC
Maximilian Philipp,BU
Yannik Keitel,DC
Jérôme Roussillon,MG
Aster Vranckx,MC
Davie Selke,BU
Éric Ebimbe,MD
Phillip Tietz,BU
Miloš Veljković,DC
Eric Martel,MDC
Borja Iglesias,BU
Moritz Jenz,DC
Yannick Gerhardt,MC
Dominik Kohr,DC
Merlin Röhl,MOC
Silvan Widmer,MD
András Schäfer,MC
Tom Krauß,MC
Niels Nkounkou,MG
Noah Weißhaupt,MG
Max Finkgräfe,DG
Rubén Vargas,MOC
Felix Agu,MG
Jordan Siebatcheu,BU
Maximilian Bauer,DC
Aurélio Buta,MD
Jordy Makengo,DG
Marnon Busch,DD
Mads Pedersen,DG
Sven Michel,BU
Karim Adeyemi,BU
Omar Traoré,DD
Yorbe Vertessen,BU
Eren Dinkçi,AD
Umut Tohumcu,MC
Felix Passlack,DD
Benedikt Gimber,DC
Marvin Mehlem,MC
Marvin Pieringer,BU
Leonardo Bittencourt,MC
Cédric Zesiger,DC
Maximilian Wittek,MG
Stefan Lainer,DD
Dominique Heintz,DG
Denis Huseinbašić,MDC
Florian Kainz,MOC
Robert Gumny,DD
Tomáš Čvančara,BU
Marius Bülter,MG
