Name,Position
Jérémy Doku,BU
Jordan Amavi,DG
Kylian Mbappé,BU
Vitinha,MC
Pierre Lees-Melou,MDC
Radosław Majecki,G
Caio Henrique,MG
Marquinhos,DC
Achraf Hakimi,DD
Wilfried Singo,DC
Emran Soglo,MG
Senny Mayulu,MC
Eliesse Ben Seghir,BU
Danilo Pereira,DC
Massamba Ndiaye,G
Rubén Blanco,G
Ousmane Dembélé,BU
Manuel Ugarte,MC
Gianluigi Donnarumma,G
Dimitry Bertaud,G
Rémy Descamps,G
Mohammed Salisu,DC
Jean-Ricner Bellegarde,MC
Jonathan David,BU
Warren Zaïre-Emery,MC
Kamory Doumbia,MC
Fabián Ruiz,MC
Bafodé Diakité,DC
Denis Zakaria,MC
Anthony Lopes,G
Marco Asensio,BU
Aleksandr Golovin,MOC
Grégoire Coudert,G
Othmane Maamma,BU
Milan Škriniar,DC
Pierre-Emerick Aubameyang,BU
Youssouf Fofana,MC
Facundo Medina,DC
Takumi Minamino,MOC
Thilo Kehrer,DC
Angel Gomes,MDC
Julien Le Cardinal,DC
Leonardo Balerdi,DC
Amir Murillo,MD
Nampalys Mendy,MC
Lucas Hernández,DG
Benjamin Lecomte,G
Wissam Ben Yedder,BU
Valentin Rongier,MC
Kevin Danso,DC
Arnaud Nordin,AD
Marco Bizot,G
Romain Del Castillo,AD
Sanjin Prcić,MC
Vítinha,BU
Benjamin André,MDC
Mohamed Camara,MC
Dante,DC
Mateusz Wieteska,DC
Téji Savanier,MOC
Brice Samba,G
Azor Matusiwa,MC
Nuno Mendes,DG
Saïd Benrahma,BU
Tiago Santos,DD
Nemanja Matić,MC
Maghnes Akliouche,MOC
Jean-Clair Todibo,DC
Florian Sotoca,MOC
Martin Terrier,BU
Alexandre Oukidja,G
Arthur Desmas,G
Georges Mikautadze,BU
Samuel Gigot,DC
Edon Zhegrova,AD
Neil El Aynaoui,MC
Joseph Okumu,DC
Lucas Chevalier,G
Andrey Santos,MC
Stijn Spierings,MC
Mory Diaw,G
Youcef Atal,DD
Emmanuel Agbadou,DC
Ruben Aguilar,MD
Kang-In Lee,BU
Rémy Cabella,AG
Khéphren Thuram,MC
Kenny Lala,DD
Leny Yoro,DC
Baptiste Santamaria,MC
Chancel Mbemba,DC
Warmed Omari,DC
Yann Gboho,MOC
Yvon Mvogo,G
Hicham Boudaoui,MC
Mahdi Camara,MOC
Amine Harit,MC
Jonathan Clauss,DD
Modibo Sagnan,DC
Dilane Bakwa,BU
Bradley Locko,DG
Steve Mandanda,G
Jonas Serge Martin,MDC
Pau López,G
Jérémie Boga,BU
Lilian Brassier,DC
Orel Mangala,MC
Marcin Bułka,G
Gonçalo Ramos,BU
Alexsandro Ribeiro,DC
Carlos Soler,MC
Brendan Chardonnet,DC
Ismaïla Sarr,BU
Alexandre Lacazette,BU
Mathieu Gorgelin,G
Arthur Theate,DC
Nordi Mukiele,DD
Geoffrey Kondogbia,MC
Yoram Zague,DG
Ibrahim Cissoko,MD
Enzo Le Fée,MC
Adam Ounas,AG
Maxence Caqueret,MC
Clinton Mata,DD
Jake O'Brien,DC
Mathias Pereira Lage,AG
Lucas Beraldo,DC
Jonathan Gradit,DC
Junior Onana,MC
Philipp Köhn,G
Corentin Tolisso,MC
Hugo Magnetti,MDC
Youssouf Ndayishimiye,MC
David Da Costa,MOC
Laurent Abergel,MC
Bilal Nadir,MC
Moussa Diarra,DC
Krépin Diatta,MD
Joris Chotard,MDC
Guillermo Maripán,DC
Lorenz Assignon,DD
Breel Embolo,BU
Duje Ćaleta-Car,DC
Iliman Ndiaye,BU
Ismaily,DG
Arnau Tenas,G
Vanderson,MD
Yehvann Diouf,G
Youssef Maziz,AG
Junya Ito,BU
Abdoul Kader Bamba,MOC
Pablo Rosario,MC
Sergio Akieme,DG
Gautier Lloris,DC
Teddy Teuma,MC
Soungoutou Magassa,DC
Saïdou Sow,DC
Kiki Kouyaté,DC
Randal Kolo Muani,BU
Rasmus Nicolaisen,DC
Nicolás Tagliafico,DG
Jordan Veretout,MC
Antoine Mendy,DD
Thijs Dallinga,BU
Ismail Jakobs,MG
Mousa Al-Tamari,AD
Alban Lafont,G
Bradley Barcola,BU
Melvin Bard,DG
Yunis Abdelhamid,DC
Bamo Meïté,DC
Christian Mawissa,DC
Amine Gouiri,BU
Matthieu Udol,DG
Yusuf Yazıcı,MOC
Nabil Bentaleb,MDC
Maxime Estève,DC
Étienne Kinkoué,DC
Azzedine Ounahi,MC
Mikkel Desler,DD
Bećir Omeragić,DC
Mohamed-Ali Cho,BU
Guillaume Restes,G
Jeanuël Belocian,DC
Wesley Saïd,BU
Issiaga Sylla,DG
Christopher Jullien,DC
Romain Faivre,MOC
Yoann Salmier,DC
Habib Keita,MC
Lucas Perrin,DC
Christopher Wooh,DC
Abdukodir Khusanov,DC
Logan Costa,DC
Benjamin Bourigeaud,MD
Amir Richardson,MC
Matthis Abline,BU
Ainsley Maitland-Niles,DD
Morgan Guilavogui,BU
Arnaud Kalimuendo,BU
Paul Akouokou,MDC
Cristian Cásseres,MC
Muhammed Cham,MOC
Zakaria Aboukhlal,MOC
Tom Louchet,MC
Guela Doué,DD
Martín Satriano,BU
Sinaly Diomandé,DC
Elye Wahi,BU
Steve Mounié,BU
Matz Sels,G
Oussama Targhalline,MC
Sadibou Sané,DC
Frédéric Guilbert,DG
Deiver Machado,MG
Renan Lodi,DG
Bilal Boutobba,AD
André Ayew,BU
Angelo Fulgini,MOC
Montassar Talbi,DC
Falaye Sacko,DD
Gerzino Nyamsi,DC
Emmanuel Sabbi,BU
Mostafa Mohamed,BU
Isaak Touré,DC
Keylor Navas,G
Désiré Doué,MG
Mohamed Bamba,BU
Christopher Opéri,DG
Chrislain Matsima,DC
Evann Guessand,BU
Ludovic Blas,BU
César Gelabert,MOC
Alaa Bellaarouch,G
Folarin Balogun,BU
Pape Gueye,MC
Vincent Sierro,MC
Christophe Hérelle,DC
Marshall Munetsi,MC
Adrien Thomasson,MOC
Arouna Sangante,DC
Nabil Alioui,MOC
Jean-Charles Castelletto,DC
Douglas Augusto,MC
Gaëtan Laborde,BU
Ronaël Pierre-Gabriel,DC
Eray Cömert,DC
Abdoulaye Touré,MC
Abdoul Koné,DD
Marquinhos,AD
Shamar Nicholson,BU
Neto Borges,MG
Carlos Baleba,MDC
Gabriel Gudmundsson,DG
