Name,Position
Adama Traoré,AG
Rodri,MDC
Thomas Strakosha,G
Enes Ünal,BU
Michael Olise,BU
Giovani Lo Celso,MDC
Leander Dendoncker,MDC
Arijanet Murić,G
Bukayo Saka,BU
Phil Foden,AD
Declan Rice,MC
Manor Solomon,AG
Nathan Aké,DC
Manuel Akanji,DC
Martin Ødegaard,MC
Jack Grealish,AG
Cole Palmer,MOC
Mateo Kovačić,MDC
Mohamed Salah,BU
Jérémy Doku,AG
Kevin De Bruyne,MOC
Virgil van Dijk,DC
Tyler Adams,MDC
Joško Gvardiol,DG
Erling Haaland,BU
Cristian Romero,DC
Rúben Dias,DC
Eberechi Eze,MOC
Harvey Elliott,MC
Diogo Jota,BU
Gabriel Magalhães,DC
Bernardo Silva,AD
Kyle Walker,DD
Kai Havertz,MC
John Stones,DC
Oleksandr Zinchenko,DG
Bruno Guimarães,MC
Jacob Murphy,BU
Thiago Silva,DC
Alexis Mac Allister,MC
Trent Alexander-Arnold,DD
Ibrahima Konaté,DC
Conor Gallagher,MDC
Julián Álvarez,MOC
Martin Dúbravka,G
Dominik Szoboszlai,MC
Cody Gakpo,BU
Caoimhín Kelleher,G
Darwin Núñez,BU
Thomas Partey,MC
Takehiro Tomiyasu,DG
Jordan Pickford,G
James Maddison,MOC
Emile Smith Rowe,MC
Moisés Caicedo,MDC
Pascal Alexander Groß,MDC
Conor Bradley,DD
Mark Travers,G
Alphonse Aréola,G
William Saliba,DC
Micky van de Ven,DC
Tom Cairney,MDC
Solly March,AD
Bruno Fernandes,MOC
Anthony Gordon,BU
Andrew Robertson,DG
Kevin Schade,BU
André Onana,G
Maxwell Cornet,MD
Jarell Quansah,DC
Ben White,DD
Luis Díaz,BU
Ollie Watkins,BU
Leandro Trossard,BU
Robin Olsen,G
Hannibal Mejbri,MOC
Heung-Min Son,BU
Lewis Hall,DG
Rico Lewis,DD
Ben Davies,DC
Jan Paul van Hecke,DC
Gabriel Jesus,BU
James Trafford,G
Neto,G
Emiliano Martínez,G
Youri Tielemans,MC
Lewis Dunk,DC
Diogo Dalot,DD
Guglielmo Vicario,G
José Sá,G
Douglas Luiz,MC
Thomas Kaminski,G
Trevoh Chalobah,DC
Daniel Muñoz,MD
Jorginho,MC
Alexander Isak,BU
Mohammed Kudus,AD
Amad Diallo,MOC
Đorđe Petrović,G
Noni Madueke,AD
Harry Maguire,DC
Malo Gusto,DD
Jakub Kiwior,DG
Pedro Porro,DD
Bryan Mbeumo,BU
Julio Enciso,MOC
Leon Bailey,MD
Ivan Toney,BU
Matheus Cunha,BU
Raphaël Varane,DC
Neal Maupay,BU
Yves Bissouma,MDC
Pape Matar Sarr,MDC
Bernd Leno,G
Idrissa Gana Gueye,MC
Robert Sánchez,G
Ethan Pinnock,DC
Rodrigo Muniz,BU
Elliot Anderson,MC
Callum Wilson,BU
Callum Hudson-Odoi,AG
Nicolas Jackson,BU
Tino Livramento,DD
Levi Colwill,DG
Pedro Neto,BU
Pau Torres,DC
Gabriel Martinelli,BU
João Palhinha,MDC
Eddie Nketiah,BU
Joachim Andersen,DC
Álex Moreno,DG
Reiss Nelson,BU
Ezri Konsa,DD
Nick Pope,G
Chiedozie Ogbene,MD
Stefan Ortega,G
James Ward-Prowse,MOC
Łukasz Fabiański,G
Ederson,G
Willy Boly,DC
Adam Webster,DC
Jarrad Branthwaite,DC
Benoît Badiashile,DC
Morgan Gibbs-White,MOC
Cheick Doucouré,MDC
Max Kilman,DC
Josh Cullen,MC
Craig Dawson,DC
Destiny Udogie,DG
Luis Sinisterra,AG
Amadou Onana,MC
Adam Wharton,MC
Raheem Sterling,AG
James Tarkowski,DC
Mark Flekken,G
Boubacar Kamara,MC
Enzo Fernández,MDC
Jarrod Bowen,BU
John McGinn,MG
Marcos Senesi,DC
Alejandro Garnacho,AG
Joe Gomez,DG
Axel Disasi,DC
Richarlison,BU
Joël Matip,DC
Billy Gilmour,MDC
Chris Wood,BU
Bart Verbruggen,G
Ryan Gravenberch,MC
Tyrone Mings,DC
Marcus Rashford,AG
Alexander Iwobi,AG
Scott McKenna,DC
Alisson Becker,G
Ross Barkley,MC
Loris Karius,G
Willian,AG
Harvey Barnes,BU
Fabian Schär,DC
Lucas Paquetá,AG
