Col_0,Col_1,Col_2,Col_4,Col_5,Col_6,Col_7,Playing Time,Playing Time.1,Playing Time.2,Performance,Performance.1,Performance.2,Performance.3,Performance.4,Performance.5,Performance.6,Performance.7,Performance.8,Performance.9,Penalty Kicks.1,Penalty Kicks.2,Penalty Kicks.4
Rk,Player,Nation,Squad,Comp,Age,Born,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,Save%
1,Julen Agirrezabala,es ESP,Athletic Club,es La Liga,22,2000,4,2,238,4,1.51,12,8,66.7,1,0,1,2,100.0,0,0,Unknown
2,Alisson,br BRA,Liverpool,eng Premier League,30,1992,28,28,2520,30,1.07,109,80,73.4,16,8,4,8,28.6,1,0,0.0
3,Alphonse Areola,fr FRA,West Ham,eng Premier League,30,1993,31,31,2699,53,1.77,188,136,74.5,11,9,11,4,12.9,5,2,28.6
4,Simone Aresti,it ITA,Cagliari,it Serie A,37,1986,1,0,1,1,90.00,1,0,100.0,0,0,0,0,Unknown,1,0,0.0
5,Kepa Arrizabalaga,es ESP,Real Madrid,es La Liga,28,1994,14,13,1198,9,0.68,38,30,76.3,10,2,1,8,61.5,0,0,Unknown
6,Noah Atubolu,de GER,Freiburg,de Bundesliga,21,2002,34,34,3060,58,1.71,158,99,65.2,11,9,14,10,29.4,3,2,40.0
7,Emil Audero,id IDN,Inter,it Serie A,26,1997,4,4,337,3,0.80,11,8,72.7,2,1,1,2,50.0,0,0,Unknown
8,Nicola Bagnolini,it ITA,Bologna,it Serie A,19,2004,1,0,5,0,0.00,1,1,100.0,0,0,0,0,Unknown,0,0,Unknown
9,Augusto Batalla,ar ARG,Granada,es La Liga,27,1996,17,17,1530,28,1.65,86,58,67.4,3,4,10,3,17.6,0,0,Unknown
10,Daniel Batz,de GER,Mainz 05,de Bundesliga,32,1991,4,4,360,3,0.75,17,14,82.4,0,2,2,1,25.0,0,0,Unknown
