Name,Position
Simone Perilli,G
Kristjan Asllani,MC
Hakan Çalhanoğlu,MC
Marko Arnautović,BU
Renato Sanches,MC
Davide Biraschi,DC
Lautaro Martínez,BU
Nicola Leali,G
Sardar Azmoun,BU
Nicolas Haas,MDC
Stefan de Vrij,DC
Yann Bisseck,DC
Mile Svilar,G
Davide Frattesi,MC
Benjamin Pavard,DC
Riccardo Calafiori,DC
Khvicha Kvaratskhelia,BU
Danilo,DC
Rafael Leão,AG
Michele Di Gregorio,G
Henrikh Mkhitaryan,MC
Carlos Augusto,MG
Marcus Thuram,BU
Federico Dimarco,MG
Alessandro Bastoni,DC
Theo Hernández,DG
Francesco Acerbi,DC
Jhon Lucumí,DC
Gianluca Scamacca,BU
Lorenzo Montipò,G
Lewis Ferguson,MOC
Christian Pulišić,BU
Juan Musso,G
Ademola Lookman,BU
Federico Chiesa,BU
Yann Sommer,G
Alan Matturro,MG
Adrien Rabiot,MC
Luis Muriel,BU
Marco Carnesecchi,G
Tijjani Reijnders,MDC
Elia Caprile,G
Alexis Sánchez,BU
Maduka Okoye,G
Ismaël Bennacer,MDC
Federico Ravaglia,G
Arkadiusz Milik,BU
Marten de Roon,MC
Manuel Locatelli,MC
Nicolò Barella,MC
Mario Pašalić,MC
Éderson,MC
Alex Sandro,DC
Mike Maignan,G
Ivan Provedel,G
Emilio Audero,G
Christos Mandas,G
Pietro Terracciano,G
Ruben Loftus-Cheek,MOC
Henrique Arthur,MDC
Mattia Zaccagni,BU
Remo Freuler,MDC
Leandro Paredes,MC
Amir Rrahmani,DC
Yacine Adli,MDC
Vanja Milinković-Savić,G
Giacomo Bonaventura,MOC
Joshua Zirkzee,BU
Gleison Bremer,DC
Luis Alberto,MC
Dušan Vlahović,BU
Alessandro Florenzi,DG
Wojciech Szczęsny,G
Paulo Dybala,BU
Victor Osimhen,BU
Teun Koopmeiners,MOC
Giorgio Scalvini,DC
Charles De Ketelaere,BU
Alexey Miranchuk,MOC
Nicolás González,AD
Fikayo Tomori,DC
Samuel Chukwueze,AD
Alessandro Buongiorno,DC
Berat Djimsiti,DC
Oussama El Azzouzi,MDC
Etrit Berisha,G
Josep Martínez,G
Daniele Rugani,DC
Riccardo Orsolini,AD
Duván Zapata,BU
Vincenzo Fiorillo,G
Piotr Zieliński,MC
Lucas Martínez,DC
Albert Guðmundsson,BU
El Bilal Touré,BU
Mathías Olivera,DG
Antonín Barák,MOC
Bryan Cristante,MC
Daichi Kamada,MC
Łukasz Skorupski,G
Antonio Mirante,G
Alessio Romagnoli,DC
Federico Gatti,DC
Nicolò Fagioli,MC
Olivier Giroud,BU
Leo Østigård,DC
Marco Sportiello,G
Stanislav Lobotka,MC
Giovanni Bonfanti,DC
Domenico Berardi,AD
Andrea Belotti,BU
Matteo Pessina,MC
Vítinha,BU
Wladimiro Falcone,G
Sead Kolašinac,DC
Fabiano Parisi,DG
Giacomo Raspadori,BU
Denzel Dumfries,MD
Tommaso Martinelli,G
Weston McKennie,MC
Michael Kayode,DD
Lorenzo Pellegrini,MC
Roberto Gagliardini,MC
Rick Karsdorp,MD
Milan Đurić,BU
Evan NDicka,DC
Lameck Banda,BU
Giovanni Fabbian,MC
Morten Frendrup,MC
Dan Ndoye,AD
Nehuén Pérez,DC
Radu Drăgușin,DC
Nikola Milenković,DC
Alexis Saelemaekers,MG
Simon Kjær,DC
Giovanni Di Lorenzo,DD
Michel Aebischer,MDC
Matteo Darmian,MD
Noah Okafor,BU
Alberto Dossena,DC
André-Frank Zambo Anguissa,MC
Danilo D'Ambrosio,DC
Felipe Anderson,BU
Sam Beukema,DC
Riccardo Sottil,AG
Matteo Gabbia,DC
Mattia Perin,G
Matteo Politano,BU
Tommaso Pobega,MDC
Uroš Račić,MDC
Patric,DC
Alfred Duncan,MDC
Mario Gila,DC
Gaetano Castrovilli,AG
Davide Calabria,DD
Yerry Mina,DC
Samuele Vignato,MOC
Pablo Marí,DC
Guillermo Ochoa,G
Nicolò Casale,DC
Tijjani Noslin,BU
Nemanja Radonjić,MOC
Cyril Ngonge,MOC
Alex Meret,G
Gvidas Gineitis,MC
Enzo Barrenechea,MC
Andrea Carboni,DC
Samuele Ricci,MC
Romelu Lukaku,BU
Ricardo Rodríguez,DC
Koffi Djidji,DC
Andrea Cambiaso,MD
Diego Llorente,DC
Alessandro Vogliacco,DC
Stefano Turati,G
Luca Ranieri,DC
Rade Krunić,MC
Lautaro Giannetti,DC
Giangiacomo Magnani,DC
Andrea Consigli,G
Rui Patrício,G
Jaka Bijol,DC
Johan Vásquez,DC
Marin Pongračić,DC
Matteo Ruggeri,MG
Koni De Winter,DC
Houssem Aouar,MC
Walace,MC
Jonathan Ikoné,AD
Dodô,DD
Chris Smalling,DC
Diego Coppola,DC
Lorenzo De Silvestri,DD
Mattéo Guendouzi,MC
Santiago Castro,BU
Simone Scuffet,G
