Player,Rk,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Nation,Pos,Squad,Comp,Calculated_Age,Goals_per_minute,Goals_per_90,Assists_per_90
Aaron Cresswell,604,33.0,1989.0,11,4.0,436,4.8,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,4.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,eng ENG,"DF,FW",West Ham,eng Premier League,36.0,0.0,0.0,0.0
Aaron Hickey,1140,21.0,2002.0,9,9.0,713,7.9,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,9.0,21.0,13.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,sct SCO,DF,Brentford,eng Premier League,23.0,0.0,0.0,0.0
Aaron Malouda,1588,17.0,2005.0,1,0.0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fr FRA,FW,Lille,fr Ligue 1,20.0,0.0,0.0,0.0
Aaron Ramsdale,2188,25.0,1998.0,6,6.0,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eng ENG,GK,Arsenal,eng Premier League,27.0,0.0,0.0,0.0
Aaron Ramsey,2189,20.0,2003.0,14,5.0,527,5.9,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,8.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.13,0.06,0.13,eng ENG,"MF,FW",Burnley,eng Premier League,22.0,0.0,0.0,0.0
Aaron Seydel,2417,27.0,1996.0,16,5.0,619,6.9,1,0,1,1,0,0,1,0,1.0,1.0,0.7,1.7,7.0,10.0,35.0,0.15,0.0,0.15,0.15,0.15,0.15,0.1,0.25,0.15,0.25,de GER,FW,Darmstadt 98,de Bundesliga,29.0,0.0016129032258064516,0.1447178002894356,0.0
Aaron Wan-Bissaka,2741,25.0,1997.0,22,20.0,1780,19.8,0,2,2,0,0,0,4,0,0.1,0.1,1.5,1.6,30.0,77.0,54.0,0.0,0.1,0.1,0.0,0.1,0.01,0.08,0.08,0.01,0.08,eng ENG,DF,Manchester Utd,eng Premier League,28.0,0.0,0.0,0.10095911155981827
Aarón Escandell,825,27.0,1995.0,2,1.0,153,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es ESP,GK,Las Palmas,es La Liga,30.0,0.0,0.0,0.0
Aarón Martín,1633,26.0,1997.0,22,17.0,1376,15.3,0,1,1,0,0,0,4,0,0.2,0.2,1.7,1.9,28.0,35.0,72.0,0.0,0.07,0.07,0.0,0.07,0.01,0.11,0.12,0.01,0.12,es ESP,DF,Genoa,it Serie A,28.0,0.0,0.0,0.06531678641410843
Abakar Sylla,2534,20.0,2002.0,22,19.0,1792,19.9,2,0,2,2,0,0,4,0,1.6,1.6,0.5,2.0,8.0,72.0,2.0,0.1,0.0,0.1,0.1,0.1,0.08,0.02,0.1,0.08,0.1,ci CIV,DF,Strasbourg,fr Ligue 1,23.0,0.0011154489682097045,0.10045203415369161,0.0
